ANON_ID,Birthdate,Gen,Eth_2122,Fluency_2122,SpEd_2122,Grade_2122,AttRate_2122,DaysEnr_2122,DaysAbs_2122,Susp_2122,CurrWeightedTotGPA_2122,SED_2122,School Name,Zip_2122
240,2005-03-21,F,African American,EO,Special Ed,10,0.4389,180.0,101.0,,1.0,SED,Castlemont,
485,2007-03-11,M,African American,EO,Special Ed,9,0.0345,174.0,168.0,,0.0,SED,Castlemont,
557,2005-05-08,F,African American,EO,Special Ed,11,0.9167,180.0,15.0,,3.86,SED,Castlemont,
565,2006-10-25,F,African American,EO,Special Ed,9,0.3492,63.0,41.0,,0.0,SED,Castlemont,
566,2006-10-25,F,African American,EO,Special Ed,9,0.3492,63.0,41.0,,0.0,SED,Castlemont,
594,2003-05-05,F,Filipino,EO,Not Special Ed,12,0.2647,136.0,100.0,,0.0,SED,Castlemont,
662,2005-09-02,F,Latino,RFEP,Not Special Ed,10,0.5357,28.0,13.0,,0.0,SED,Castlemont,
688,2006-12-07,F,Latino,RFEP,Not Special Ed,9,0.9389,180.0,11.0,,3.38,SED,Castlemont,
695,2006-05-30,F,Latino,EL,Not Special Ed,10,0.2429,70.0,53.0,,0.0,SED,Castlemont,
707,2005-09-11,M,Latino,EL,Not Special Ed,11,0.8722,180.0,23.0,,3.63,SED,Castlemont,
750,2004-01-03,F,Latino,EL,Not Special Ed,9,0.6,100.0,40.0,,0.0,Not SED,Castlemont,
873,2005-02-17,F,Latino,EL,Not Special Ed,11,0.3392,171.0,113.0,,0.0,SED,Castlemont,
874,2005-07-05,F,Latino,EL,Not Special Ed,11,0.5096,157.0,77.0,,0.2,SED,Castlemont,
875,2005-07-05,M,Latino,EL,Not Special Ed,11,0.5096,157.0,77.0,,0.2,SED,Castlemont,
887,2001-09-20,F,Latino,EL,Not Special Ed,11,0.8778,180.0,22.0,,2.88,SED,Castlemont,
1037,2004-03-23,M,Latino,RFEP,Not Special Ed,12,0.8667,180.0,24.0,,3.0,SED,Castlemont,
1061,2006-05-07,M,Latino,EL,Not Special Ed,9,0.9886,176.0,2.0,,3.75,SED,Castlemont,
1086,2006-08-10,F,Latino,EL,Not Special Ed,10,0.8667,180.0,24.0,,1.5,SED,Castlemont,
1151,2003-08-15,M,Not Reported,EL,Not Special Ed,12,0.2424,33.0,25.0,,0.0,SED,Castlemont,
1414,2007-05-04,F,Asian,EL,Not Special Ed,9,0.8276,116.0,20.0,,0.0,Not SED,Castlemont,
1567,2007-05-08,M,Latino,EL,Not Special Ed,9,0.1519,79.0,67.0,,0.0,SED,Castlemont,
1802,2005-03-25,M,Latino,EL,Special Ed,10,0.2833,180.0,129.0,,1.0,Not SED,Castlemont,
1804,2007-02-04,F,Latino,EL,Not Special Ed,9,0.8171,82.0,15.0,,0.0,SED,Castlemont,
1840,2004-11-10,M,Not Reported,EO,Special Ed,11,0.5641,156.0,68.0,,1.38,SED,Castlemont,
1842,2004-11-10,M,Not Reported,EO,Special Ed,11,0.5449,156.0,71.0,,0.6,SED,Castlemont,
1983,2006-08-21,F,Asian,EO,Not Special Ed,10,0.9098,133.0,12.0,,3.5,SED,Castlemont,
2009,2005-08-08,F,Latino,EO,Special Ed,11,0.3111,180.0,124.0,,0.57,Not SED,Castlemont,
2020,2005-07-04,M,Latino,EL,Not Special Ed,11,0.9889,180.0,2.0,,4.0,SED,Castlemont,
2263,2007-06-08,F,Latino,EL,Not Special Ed,9,0.9765,170.0,4.0,,3.75,SED,Castlemont,
2579,2007-01-30,M,African American,EO,Not Special Ed,9,0.6964,168.0,51.0,1.0,0.67,SED,Castlemont,
2849,2004-06-07,M,Latino,TBD,Not Special Ed,9,0.9333,30.0,2.0,,0.0,Not SED,Castlemont,
3079,2007-04-22,M,Latino,EL,Not Special Ed,9,0.7216,176.0,49.0,1.0,0.4,SED,Castlemont,
3106,2006-06-26,M,Latino,EL,Not Special Ed,10,0.7333,180.0,48.0,,1.33,SED,Castlemont,
3156,2004-07-17,F,Latino,EL,Not Special Ed,12,0.988,167.0,2.0,,3.0,SED,Castlemont,
3157,2004-07-17,F,Latino,EL,Not Special Ed,12,0.988,167.0,2.0,,3.0,SED,Castlemont,
3173,2003-12-02,F,Latino,EL,Not Special Ed,12,0.6111,180.0,70.0,,2.0,SED,Castlemont,
3295,2006-07-11,F,Latino,EL,Not Special Ed,10,0.9389,180.0,11.0,,2.63,SED,Castlemont,
3314,2005-11-24,F,Latino,EL,Not Special Ed,11,0.7333,180.0,48.0,,2.5,SED,Castlemont,
3505,2005-09-02,F,Latino,EL,Not Special Ed,9,0.9697,66.0,2.0,,3.75,Not SED,Castlemont,
3515,2006-01-17,F,Latino,TBD,Not Special Ed,9,0.9545,22.0,1.0,,0.0,Not SED,Castlemont,
3775,2004-04-28,M,African American,EO,Special Ed,12,0.5667,180.0,78.0,,2.33,SED,Castlemont,
3862,2007-03-24,F,Latino,EL,Not Special Ed,9,0.377,61.0,38.0,,0.0,SED,Castlemont,
3863,2003-09-11,M,Latino,RFEP,Not Special Ed,12,0.6389,180.0,65.0,,1.4,SED,Castlemont,
3912,2005-01-31,F,Latino,EL,Not Special Ed,11,0.3556,180.0,116.0,,0.83,SED,Castlemont,
3929,2006-11-12,F,Latino,EL,Not Special Ed,9,0.905,179.0,17.0,,3.13,SED,Castlemont,
4226,2004-05-15,F,Latino,RFEP,Not Special Ed,12,0.7667,180.0,42.0,,1.5,SED,Castlemont,
4455,2003-12-17,F,Latino,EL,Not Special Ed,10,0.7722,180.0,41.0,,3.38,Not SED,Castlemont,
4472,2005-05-31,F,Latino,EL,Not Special Ed,11,0.7889,180.0,38.0,,1.38,SED,Castlemont,
